CaoTrinh_m	Dientich_km2	Dungtich_10^6m3
70.00	0.00	0.00
72.00	0.08	0.20
74.00	0.16	0.40
76.00	0.24	0.78
78.00	0.31	1.34
80.00	0.39	1.90
82.00	0.59	3.22
84.00	0.78	4.54
86.00	1.20	6.50
88.00	1.83	9.10
90.00	2.46	11.70
92.00	2.90	17.66
94.00	3.33	23.62
96.00	3.81	30.82
98.00	4.33	39.26
100.00	4.85	47.70
102.00	5.33	58.62
104.00	5.81	69.54
106.00	6.28	81.60
108.00	6.75	94.80
110.00	7.22	108.00
112.00	7.62	123.40
114.00	8.01	138.80
116.00	8.43	155.26
118.00	8.88	172.78
120.00	9.33	190.30
122.00	9.77	210.06
124.00	10.22	229.82
126.00	10.71	250.76
128.00	11.25	272.88
129.00	11.53	288.34
129.5	11.58	289.5
130.00	11.80	295.00
