regulation_id,reservoir_name_en,season,period_start_mmdd,period_end_mmdd,constraint_type,level_min_m,level_max_m,article_ref,,,
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,flood_season,901,1215,max_pre_flood,,405,"Article 7.2, Table 2",,,314
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,flood_season,901,1215,min_pre_flood,400,,"Article 7.3, Table 3",,,314
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,1216,1220,dry_operating_band,407.4,409,Appendix III,,,4
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,1221,1231,dry_operating_band,407.4,409,Appendix III,,,10
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,101,110,dry_operating_band,407.3,408.9,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,111,120,dry_operating_band,407.3,408.9,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,121,131,dry_operating_band,407.2,408.8,Appendix III,,,10
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,201,210,dry_operating_band,407.2,408.8,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,211,220,dry_operating_band,407.1,408.7,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,221,229,dry_operating_band,407,408.6,Appendix III,,,
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,301,310,dry_operating_band,406.6,408.2,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,311,320,dry_operating_band,405.9,407.5,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,321,331,dry_operating_band,405.1,406.7,Appendix III,,,10
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,401,410,dry_operating_band,404.1,405.7,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,411,420,dry_operating_band,403.5,405.1,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,421,430,dry_operating_band,402.7,404.3,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,501,510,dry_operating_band,401.8,403.4,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,511,520,dry_operating_band,400.1,401.7,Appendix III,,,9
qd_911_qd_ttg_2018_tra_khuc,DakDrinh,dry_season,521,531,dry_operating_band,398.2,399.8,Appendix III,,,10
