source_reference,section_code,section_name,parameter_name,parameter_symbol,probability_value,probability_unit,reservoir_name_en,value,unit
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,annual_storage,Wni,,,nuoc_trong,188.5,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,catchment_area,,,,DakDrinh,420,km2
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,catchment_area,,,,DakRe,73.8,km2
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,catchment_area,,,,dak_so_rach,38.1,km2
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,catchment_area,,,,NuocTrong,460,km2
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,catchment_area,,,,SonTay,186,km2
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,catchment_area,,,,SonTra1A,378,km2
nuoc_trong,,dam,crest_elevation,m,,,NuocTrong,132.5,m
nuoc_trong,,dam,dam_height,m,,,NuocTrong,62.5,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,crest_elevation,m,,,DakDrinh,415,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,dam_height,m,,,DakDrinh,94.5,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,crest_elevation,m,,,DakRe,946,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,dam_height,m,,,DakRe,46,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,crest_elevation,m,,,SonTay,203,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,dam_height,m,,,SonTay,30.5,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,crest_elevation,m,,,SonTra1A,205,m
qd_911_qd_ttg_2018_tra_khuc,derived,dam,dam_height,m,,,SonTra1A,49,m
chi_cuc_quang_ngai,,dam,spillway_water_level,m,,,DakDrinh,395,m
chi_cuc_quang_ngai,,dam,spillway_water_level,m,,,NuocTrong,115.5,m
chi_cuc_quang_ngai,,dam,spillway_water_level,m,,,SonTra1A,192.5,m
chi_cuc_quang_ngai,,dam,spillway_water_level,m,,,SonTay,192.5,m
chi_cuc_quang_ngai,,dam,spillway_water_level,m,,,DakRe,936,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_storage,Wc,,,DakDrinh,43.3,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_storage,Wc,,,DakRe,1.128,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_storage,Wc,,,dak_so_rach,0.261,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_storage,Wc,,,NuocTrong,30.8,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_storage,Wc,,,SonTay,0.138,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_storage,Wc,,,SonTra1A,2.76,10^6_m3
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_water_level,,,,DakDrinh,375,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_water_level,,,,DakRe,918,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_water_level,,,,dak_so_rach,1162,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_water_level,m,,,NuocTrong,96,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_water_level,,,,SonTay,183,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,dead_water_level,,,,SonTra1A,183,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.1,dam,design_flood_level,,,,DakDrinh,411.43,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.4,dam,design_flood_level,,,,DakRe,937.72,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.2,dam,design_flood_level,,,,NuocTrong,130,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.5,dam,design_flood_level,,,,SonTay,201.16,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.3,dam,design_flood_level,,,,SonTra1A,199.9,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.1,dam,flood_check_level,,,,DakDrinh,414.88,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.4,dam,flood_check_level,,,,DakRe,939.9,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.2,dam,flood_check_level,,,,NuocTrong,131.4,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.5,dam,flood_check_level,,,,SonTay,202.76,m
qd_911_qd_ttg_2018_tra_khuc,Article 4.3,dam,flood_check_level,,,,SonTra1A,202.25,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,guaranteed_capacity,Ndb,,,DakDrinh,38.85,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,guaranteed_capacity,Ndb,,,DakRe,7.94,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,guaranteed_capacity,Ndb,,,NuocTrong,2.5,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,guaranteed_capacity,Ndb,,,SonTay,4.16,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,guaranteed_capacity,Ndb,,,SonTra1A,30,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,installed_capacity,Nlm,,,DakDrinh,125,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,installed_capacity,Nlm,,,DakRe,60,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,installed_capacity,Nlm,,,NuocTrong,16.5,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,installed_capacity,Nlm,,,SonTay,18,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,capacity,installed_capacity,Nlm,,,SonTra1A,4.4,MW
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.02,percent,DakDrinh,414.88,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.1,percent,DakDrinh,411.43,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.2,percent,DakRe,939.9,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.2,percent,dak_so_rach,1165.53,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.1,percent,NuocTrong,131.4,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.5,percent,NuocTrong,130,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.2,percent,SonTay,202.76,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,reservoir,max_water_level,,0.2,percent,SonTra1A,202.25,m
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,mean_annual_discharge,Qo,,,DakDrinh,31.9,m3/s
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,mean_annual_discharge,Qo,,,DakRe,4.59,m3/s
qd_911_qd_ttg_2018_tra_khuc,AppendixI,basin_characteristics,mean_annual_discharge,Qo,,,dak_so_rach,2.37,m3/s
